Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Stahl_folie.txt
Date / time: 23.11.2022, 15:36:22
Sample: Edelstahlfolie
Comments: 22mV Antriebsspannung, 25µm Edelstahlfolie
Channel #	Counts	Counts (folded)
    778	  18588	      0
    779	  18998	      0
    780	  19164	      0
    781	  19154	      0
    782	  19404	      0
    783	  19321	      0
    784	  19480	      0
    785	  19367	      0
    786	  19390	      0
    787	  19807	      0
    788	  19783	      0
    789	  19919	      0
    790	  19874	      0
    791	  19799	      0
    792	  20058	      0
    793	  19895	      0
    794	  19735	      0
    795	  20006	      0
    796	  19998	      0
    797	  20190	      0
    798	  20223	      0
    799	  20018	      0
    800	  19956	      0
    801	  20030	      0
    802	  20320	      0
    803	  20245	      0
    804	  20356	      0
    805	  20265	      0
    806	  20210	      0
    807	  20452	      0
    808	  20185	      0
    809	  20384	      0
    810	  20359	      0
    811	  20344	      0
    812	  20294	      0
    813	  20386	      0
    814	  20424	      0
    815	  20332	      0
    816	  20343	      0
    817	  20532	      0
    818	  20546	      0
    819	  20424	      0
    820	  20247	      0
    821	  20314	      0
    822	  20475	      0
    823	  20420	      0
    824	  20273	      0
    825	  20325	      0
    826	  20587	      0
    827	  20295	      0
    828	  20332	      0
    829	  20345	      0
    830	  20303	      0
    831	  20410	      0
    832	  20321	      0
    833	  20524	      0
    834	  20549	      0
    835	  20087	      0
    836	  20183	      0
    837	  20672	      0
    838	  20534	      0
    839	  20543	      0
    840	  20305	      0
    841	  20432	      0
    842	  20466	      0
    843	  20577	      0
    844	  20330	      0
    845	  20419	      0
    846	  20145	      0
    847	  20377	      0
    848	  20507	      0
    849	  20689	      0
    850	  20601	      0
    851	  20476	      0
    852	  20327	      0
    853	  20411	      0
    854	  20455	      0
    855	  20295	      0
    856	  20714	      0
    857	  20517	      0
    858	  20464	      0
    859	  20177	      0
    860	  20553	      0
    861	  20257	      0
    862	  20727	      0
    863	  20378	      0
    864	  20430	      0
    865	  20433	      0
    866	  20582	      0
    867	  20526	      0
    868	  20430	      0
