Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Eisen_folie.txt
Date / time: 23.11.2022, 12:46:26
Sample: Eisenfolie
Comments: 63mV Antriebsspannung, 25µm Eisenfolie
Channel #	Counts	Counts (folded)
    725	  15433	      0
    726	  15390	      0
    727	  15331	      0
    728	  15283	      0
    729	  15422	      0
    730	  15305	      0
    731	  15547	      0
    732	  15545	      0
    733	  15427	      0
    734	  15531	      0
    735	  15396	      0
    736	  15375	      0
    737	  15599	      0
    738	  15657	      0
    739	  15612	      0
    740	  15423	      0
    741	  15199	      0
    742	  15593	      0
    743	  15402	      0
    744	  15313	      0
    745	  15526	      0
    746	  15395	      0
    747	  15369	      0
    748	  15538	      0
    749	  15204	      0
    750	  15095	      0
    751	  15046	      0
    752	  14533	      0
    753	  14011	      0
    754	  13560	      0
    755	  13831	      0
    756	  14491	      0
    757	  14987	      0
    758	  15087	      0
    759	  15232	      0
    760	  15438	      0
    761	  15226	      0
    762	  15552	      0
    763	  15492	      0
    764	  15176	      0
    765	  15532	      0
    766	  15361	      0
    767	  15323	      0
    768	  15570	      0
    769	  15491	      0
    770	  15533	      0
    771	  15621	      0
    772	  15557	      0
    773	  15341	      0
    774	  15208	      0
    775	  15322	      0
    776	  15227	      0
    777	  15173	      0
    778	  15030	      0
    779	  14345	      0
    780	  13901	      0
    781	  13626	      0
    782	  13817	      0
    783	  14579	      0
    784	  14804	      0
    785	  14938	      0
    786	  15376	      0
    787	  15395	      0
    788	  15245	      0
    789	  15436	      0
    790	  15441	      0
    791	  15345	      0
    792	  15477	      0
    793	  15578	      0
    794	  15610	      0
    795	  15589	      0
    796	  15641	      0
    797	  15551	      0
    798	  15305	      0
    799	  15672	      0
    800	  15304	      0
    801	  15381	      0
    802	  15411	      0
    803	  15552	      0
    804	  15456	      0
    805	  15452	      0
    806	  15510	      0
    807	  15485	      0
    808	  15411	      0
    809	  15278	      0
    810	  15374	      0
    811	  14988	      0
    812	  15071	      0
    813	  14689	      0
    814	  14427	      0
    815	  13814	      0
    816	  12984	      0
    817	  12566	      0
    818	  12917	      0
    819	  13266	      0
    820	  14144	      0
    821	  14823	      0
    822	  14903	      0
    823	  15130	      0
    824	  15116	      0
    825	  15275	      0
    826	  15090	      0
    827	  15475	      0
    828	  15336	      0
    829	  15495	      0
    830	  15370	      0
    831	  15584	      0
    832	  15680	      0
    833	  15389	      0
    834	  15650	      0
    835	  15286	      0
    836	  15537	      0
    837	  15368	      0
    838	  15274	      0
    839	  15574	      0
    840	  15399	      0
    841	  15370	      0
    842	  15375	      0
    843	  15311	      0
    844	  15516	      0
    845	  15492	      0
    846	  15149	      0
    847	  15203	      0
    848	  15008	      0
    849	  14977	      0
    850	  14738	      0
    851	  14528	      0
    852	  14143	      0
    853	  13494	      0
    854	  12958	      0
    855	  12160	      0
    856	  11949	      0
    857	  11985	      0
    858	  13009	      0
    859	  13647	      0
    860	  13967	      0
    861	  14706	      0
    862	  14812	      0
    863	  15182	      0
    864	  15012	      0
    865	  15135	      0
    866	  15137	      0
    867	  15314	      0
    868	  15367	      0
    869	  15546	      0
    870	  15259	      0
    871	  15329	      0
    872	  15473	      0
    873	  15525	      0
    874	  15375	      0
    875	  15463	      0
    876	  15393	      0
    877	  15455	      0
    878	  15525	      0
    879	  15460	      0
    880	  15346	      0
    881	  15496	      0
    882	  15534	      0
    883	  15901	      0
    884	  15384	      0
    885	  15569	      0
    886	  15554	      0
    887	  15430	      0
    888	  15631	      0
    889	  15670	      0
    890	  15521	      0
    891	  15573	      0
    892	  15527	      0
    893	  15631	      0
    894	  15395	      0
    895	  15449	      0
    896	  15323	      0
    897	  15525	      0
    898	  15556	      0
    899	  15450	      0
    900	  15490	      0
    901	  15383	      0
    902	  15529	      0
    903	  15450	      0
    904	  15382	      0
    905	  15562	      0
    906	  15417	      0
    907	  15440	      0
    908	  15745	      0
    909	  15647	      0
    910	  15541	      0
    911	  15498	      0
    912	  15518	      0
    913	  15414	      0
    914	  15581	      0
    915	  15648	      0
    916	  15611	      0
    917	  15594	      0
    918	  15443	      0
    919	  15411	      0
    920	  15694	      0
    921	  15567	      0
    922	  15686	      0
    923	  15567	      0
    924	  15585	      0
    925	  15500	      0
    926	  15341	      0
    927	  15491	      0
    928	  15481	      0
    929	  15426	      0
    930	  15590	      0
    931	  15570	      0
    932	  15605	      0
    933	  15490	      0
    934	  15742	      0
    935	  15517	      0
    936	  15572	      0
    937	  15811	      0
    938	  15354	      0
    939	  15593	      0
    940	  15351	      0
    941	  15432	      0
    942	  15469	      0
    943	  15336	      0
    944	  15528	      0
    945	  15296	      0
    946	  15469	      0
    947	  15457	      0
    948	  15473	      0
    949	  15730	      0
    950	  15687	      0
    951	  15836	      0
    952	  15731	      0
    953	  15704	      0
    954	  15549	      0
    955	  15643	      0
    956	  15536	      0
    957	  15586	      0
    958	  15491	      0
    959	  15346	      0
    960	  15393	      0
    961	  15508	      0
    962	  15590	      0
    963	  15670	      0
    964	  15482	      0
    965	  15459	      0
    966	  15497	      0
    967	  15451	      0
    968	  15565	      0
    969	  15466	      0
    970	  15571	      0
    971	  15594	      0
    972	  15686	      0
    973	  15667	      0
    974	  15536	      0
    975	  15544	      0
    976	  15695	      0
    977	  15492	      0
    978	  15814	      0
    979	  15623	      0
    980	  15604	      0
    981	  15718	      0
    982	  15575	      0
    983	  15723	      0
    984	  15548	      0
    985	  15508	      0
    986	  15709	      0
    987	  15494	      0
    988	  15655	      0
    989	  15589	      0
    990	  15603	      0
    991	  15734	      0
    992	  15797	      0
    993	  15258	      0
    994	  15605	      0
    995	  15477	      0
    996	  15438	      0
    997	  15513	      0
    998	  15611	      0
    999	  15612	      0
   1000	  15451	      0
   1001	  15371	      0
   1002	  15457	      0
   1003	  15623	      0
   1004	  15509	      0
   1005	  15542	      0
   1006	  15560	      0
   1007	  15658	      0
   1008	  15638	      0
   1009	  15491	      0
   1010	  15783	      0
   1011	  15610	      0
   1012	  15480	      0
   1013	  15543	      0
   1014	  15696	      0
   1015	  15543	      0
   1016	  15589	      0
   1017	  15716	      0
   1018	  15387	      0
   1019	  15541	      0
   1020	  15409	      0
   1021	  15681	      0
   1022	  15575	      0
   1023	  15482	      0
Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Eisen_folie.txt
Date / time: 23.11.2022, 12:47:35
Sample: Eisenfolie
Comments: 63mV Antriebsspannung, 25µm Eisenfolie
Channel #	Counts	Counts (folded)
      0	  15563	  31045
      1	  15520	  31095
      2	  15703	  31384
      3	  15689	  31098
      4	  15484	  31025
      5	  15401	  30788
      6	  15542	  31258
      7	  15668	  31257
      8	  15437	  30980
      9	  15807	  31503
